,0
1546,0
1547,0
1548,8
1549,8
1550,8
1551,8
1552,8
1553,8
1554,8
1555,8
1556,8
1557,8
1558,8
1559,8
1560,5
1561,5
1562,7
1563,7
1564,1
1565,6
1566,6
1567,7
1568,1
1569,1
1570,7
1571,1
1572,7
1573,7
1574,1
1575,1
1576,8
1577,6
1578,1
1579,6
1580,8
1581,1
1582,6
1583,8
1584,7
1585,6
1586,7
1587,6
1588,1
1589,7
1590,8
1591,6
1592,7
1593,7
1594,9
1595,9
1596,1
1597,7
1598,2
1599,8
1600,9
1601,6
1602,6
1603,6
1604,6
1605,10
1606,1
1607,5
1608,1
1609,1
1610,7
1611,7
1612,7
1613,6
1614,1
1615,1
1616,1
1617,6
1618,1
1619,1
1620,1
1621,1
1622,1
1623,7
1624,1
1625,1
1626,1
1627,1
1628,1
1629,10
1630,10
1631,1
1632,1
1633,1
1634,1
1635,10
1636,10
1637,8
1638,8
1639,10
1640,6
1641,8
1642,7
1643,7
1644,6
1645,6
1646,6
1647,6
1648,8
1649,10
1650,10
1651,5
1652,5
1653,8
1654,6
1655,8
1656,8
1657,8
1658,8
1659,8
1660,6
1661,6
1662,7
1663,7
1664,8
1665,9
1666,7
1667,5
1668,7
1669,2
1670,9
1671,7
1672,7
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,1
1684,0
1685,1
1686,1
1687,0
1688,0
1689,0
1690,5
1691,2
1692,2
1693,5
1694,2
1695,2
1696,2
1697,1
1698,7
1699,10
1700,5
1701,2
1702,2
1703,10
1704,10
1705,1
1706,1
1707,1
1708,9
1709,2
1710,2
1711,2
1712,2
1713,2
1714,2
1715,10
1716,10
1717,1
1718,1
1719,1
1720,9
1721,2
1722,2
1723,9
1724,10
1725,9
1726,10
1727,7
1728,6
1729,11
1730,8
1731,5
1732,5
1733,2
1734,8
1735,5
1736,5
1737,5
1738,2
1739,5
1740,5
1741,4
1742,9
1743,9
1744,9
1745,9
1746,9
1747,9
1748,2
1749,2
1750,6
1751,1
1752,9
1753,5
1754,5
1755,5
1756,5
1757,5
1758,5
1759,10
1760,10
1761,10
1762,10
1763,6
1764,10
1765,10
1766,10
1767,10
1768,10
1769,10
1770,10
1771,10
1772,10
1773,10
1774,5
1775,10
1776,5
1777,5
1778,10
1779,10
1780,7
1781,5
1782,10
1783,7
1784,7
1785,7
1786,7
1787,7
1788,8
1789,8
1790,7
1791,7
1792,7
1793,7
1794,7
1795,7
1796,8
1797,6
1798,6
1799,6
