,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,10
1998,2
2024,10
2025,10
2026,10
2027,11
2028,11
2029,10
2031,10
2032,11
2033,10
2034,11
2035,11
2036,10
2037,8
2038,8
2039,8
2040,8
2041,8
2042,8
2043,8
2044,8
2045,8
2046,8
2047,8
2048,8
2049,8
2050,8
2051,8
2052,8
2053,8
2054,8
2055,8
2056,8
2058,8
2059,3
2060,8
2061,8
2062,8
2063,8
2064,8
2066,3
2067,8
2068,1
2069,8
2070,1
2071,8
2074,8
2075,8
2076,12
2078,8
2079,8
2080,1
2081,1
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,13
2105,1
2106,2
2107,8
2108,14
2109,13
2111,8
2112,8
2113,14
2114,2
2115,13
2117,14
2118,2
2119,2
2120,14
2122,4
2123,8
2124,14
2126,13
2137,8
2138,8
2140,4
2142,14
2143,4
2145,4
2146,4
2147,4
2148,14
2149,4
2150,14
2151,4
2152,4
2153,0
2164,0
2165,2
2166,2
2167,2
2168,0
2169,2
2170,2
2171,0
2172,0
2173,2
2174,2
2175,2
2176,0
2178,3
2179,3
2180,3
2181,3
2182,3
2183,3
2184,3
2185,11
2186,0
2187,10
2188,10
2189,10
2190,10
2191,10
2192,10
2193,10
2194,10
2195,10
2196,10
2197,0
2198,10
2199,10
2200,10
2202,0
2203,10
2204,10
2205,11
2206,13
2207,11
2212,11
2213,13
2214,13
2215,13
2216,1
2217,4
2218,4
2219,13
2220,4
2221,13
2222,6
2223,6
2224,6
2225,6
2226,6
2227,6
2228,12
2229,12
2230,12
2231,12
2232,12
2233,6
2234,12
2235,6
2236,6
