,0
1472,18
1473,7
1474,7
1475,4
1476,7
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,16
1484,16
1485,16
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,7
1493,7
1494,7
1495,7
1496,4
1497,4
1498,4
1499,7
1500,7
1501,7
1502,4
1503,4
1504,4
1505,4
1506,4
1507,7
1508,7
1509,7
1510,7
1511,13
1512,5
1513,5
1514,2
1515,5
1516,13
1517,5
1518,2
1519,5
1520,13
1521,5
1522,5
1523,13
1524,5
1525,13
1526,5
1527,5
1528,13
1529,5
1530,13
1531,5
1532,4
1533,8
1534,4
1535,8
1536,4
1537,4
1538,4
1539,4
1540,8
1541,8
1542,4
1543,4
1544,4
1545,8
1546,8
1547,4
1548,9
1549,9
1550,14
1551,14
1552,14
1553,16
1554,14
1555,6
1556,6
1557,6
1558,6
1559,6
1560,6
1561,6
1562,12
1563,12
1564,12
1565,12
1566,12
1567,12
1568,12
1569,12
1570,12
1571,12
1572,12
1573,12
1574,12
1575,12
1576,12
1577,12
1578,12
1579,12
1580,12
1581,12
1582,12
1583,12
1584,12
1585,12
1586,12
1587,12
1588,12
1589,12
1590,12
1591,12
1592,14
1593,14
1594,14
1595,14
1596,14
1597,14
1598,14
1599,14
1600,14
1601,14
1602,14
1603,14
1604,4
1605,4
1606,4
1607,4
1608,4
1609,4
1610,4
1611,4
1612,4
1613,8
1614,4
1615,4
1616,8
1617,4
1618,4
1619,4
1620,4
1621,18
1622,4
1623,18
1624,18
1625,18
1626,4
1627,4
1628,18
1629,5
1630,5
1631,2
1632,2
1633,5
1634,11
1635,5
1636,13
1637,13
1638,2
1639,13
1640,2
1641,2
1642,2
1643,2
1644,2
1645,2
1646,2
1647,2
1648,2
1649,2
1650,2
1651,2
1652,2
1653,15
1654,15
1655,15
1656,9
1657,14
1658,14
1659,9
1660,14
1661,14
1662,16
1663,16
1664,16
1665,16
1666,16
1667,16
1668,16
1669,16
1670,16
1671,16
1672,16
1673,7
1674,7
1675,7
1676,4
1677,7
1678,7
1679,7
1680,7
1681,7
1682,7
1683,4
1684,7
1685,4
1686,7
1687,7
1688,7
1689,7
1690,8
1691,5
1692,14
1693,5
1694,14
1695,5
1696,5
1697,14
1698,1
1699,4
1700,8
1701,8
1702,4
1703,4
1704,4
1705,4
1706,8
1707,4
1708,4
1709,4
1710,4
1711,4
1712,4
1713,4
1714,4
1715,4
1716,18
1717,4
1718,4
1719,18
1720,4
1721,4
1722,4
1723,18
1724,18
1725,8
1726,18
1727,4
1728,18
1729,18
1730,10
1731,5
1732,5
1733,5
1734,5
1735,5
1736,5
1737,5
1738,5
1739,14
1740,14
1741,14
1742,16
1743,16
1744,16
1745,16
1746,16
1747,16
1748,16
1749,16
1750,16
1751,16
1752,16
1753,4
1754,18
1755,18
1756,18
1757,4
1758,18
1759,4
1760,4
1761,18
1762,4
1763,4
1764,4
1765,18
1766,4
1767,4
1768,4
1769,4
1770,4
1771,4
1772,18
1773,4
1774,4
1775,4
1776,4
1777,4
1778,18
1779,4
1780,8
1781,18
1782,8
1783,9
1784,3
1785,11
1786,5
1787,5
1788,5
1789,3
1790,5
1791,14
1792,11
1793,5
1794,14
1795,5
1796,14
1797,15
1798,15
1799,14
1800,14
1801,15
1802,15
1803,14
1804,14
1805,15
1806,14
1807,14
1808,14
1809,15
1810,10
1811,10
1812,10
1813,10
1814,10
1815,14
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,14
1823,14
1824,14
1825,14
1826,14
1827,14
1828,14
1829,14
1830,14
1831,14
1832,14
1833,14
1834,16
1835,11
1836,5
1837,3
1838,3
1839,13
1840,12
1841,13
1842,3
1843,13
1844,13
1845,13
1846,13
1847,13
1848,4
1849,8
1850,8
1851,7
1852,7
1853,7
1854,4
1855,4
1856,4
1857,4
1858,8
1859,8
1860,8
1861,8
1862,8
1863,8
1864,7
1865,8
1866,4
1867,8
1868,8
1869,18
1870,8
1871,4
1872,4
1873,4
1874,4
1875,8
1876,4
1877,4
1878,4
1879,4
1880,4
1881,18
1882,4
1883,4
1884,18
1885,4
1886,18
1887,4
1888,8
1889,4
1890,4
1891,8
1892,8
1893,4
1894,4
1895,4
1896,4
1897,18
1898,14
1899,14
1900,15
1901,14
1902,14
1903,15
1904,14
1905,14
1906,15
1907,14
1908,9
1909,9
1910,14
1911,9
1912,14
1913,14
1914,14
1915,14
1916,17
1917,8
1918,3
1919,8
1920,1
1921,1
1922,3
1923,18
1924,1
1925,3
1926,1
1927,8
1928,17
1929,5
1930,11
1931,5
1932,5
1933,2
1934,5
1935,5
1936,5
1937,11
1938,5
1939,5
1940,5
1941,5
1942,5
1943,11
1944,2
1945,5
1946,11
1947,2
1948,11
1949,5
1950,11
1951,5
1952,5
1953,5
1954,5
1955,5
1956,5
1957,5
1958,11
1959,3
1960,17
1961,3
1962,18
1963,1
1964,3
1965,1
1966,3
1967,3
1968,1
1969,3
1970,1
1971,3
1972,1
1973,1
1974,18
1975,17
1976,1
1977,3
1978,4
1979,7
1980,7
1981,4
1982,7
1983,7
1984,7
1985,7
1986,7
1987,7
1988,18
1989,4
1990,7
1991,7
1992,18
1993,4
1994,5
1995,5
1996,5
1997,5
1998,5
1999,17
2000,17
2001,10
2002,10
2003,10
2004,10
2005,3
2006,3
2007,3
2008,3
2009,10
2010,10
2011,10
2012,3
2013,10
2014,10
2015,10
2016,17
2017,17
2018,17
2019,17
2020,10
2021,10
2022,10
2023,17
2024,15
2025,15
2026,15
2027,15
2028,15
2029,15
2030,14
2031,14
2032,16
2033,14
2034,15
2035,9
2036,14
2037,5
2038,5
2039,5
2040,5
2041,5
2042,5
2043,5
2044,11
2045,5
2046,5
2047,5
2048,5
2049,11
2050,5
2051,5
2052,5
2053,5
2054,5
2055,2
2056,11
2057,17
2058,1
2059,17
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,17
2067,1
2068,1
2069,1
2070,1
2071,1
2072,17
2073,1
2074,17
2075,1
2076,17
2077,1
2078,1
2079,1
2080,1
2081,1
2082,4
2083,8
2084,8
2085,4
2086,4
2087,4
2088,4
2089,8
2090,8
2091,18
2092,8
2093,8
2094,18
2095,18
2096,4
2097,6
2098,6
2099,6
2100,6
2101,6
2102,6
2103,6
2104,6
2105,6
2106,3
2107,13
2108,11
2109,12
2110,13
2111,13
2112,13
2113,11
2114,13
2115,13
2116,13
2117,11
2118,3
2119,3
2120,13
2121,2
2122,13
2123,13
2124,5
2125,13
2126,13
2127,6
2128,6
2129,6
2130,6
2131,6
2132,6
2133,6
2134,6
2135,6
2136,2
2137,2
2138,2
2139,2
2140,2
2141,1
2142,2
2143,1
2144,1
2145,2
2146,1
2147,2
2148,17
2149,1
2150,2
2151,1
2152,1
2153,2
2154,4
2155,18
2156,4
2157,4
2158,4
2159,4
2160,4
2161,4
2162,4
2163,4
2164,7
2165,7
2166,18
2167,7
2168,4
2169,7
2170,7
2171,4
2172,7
2173,7
2174,7
2175,7
2176,7
2177,8
2178,13
2179,13
2180,13
2181,13
2182,13
2183,13
2184,13
2185,13
2186,8
2187,18
2188,18
2189,18
2190,8
2191,18
2192,8
2193,4
2194,18
2195,18
2196,18
2197,18
2198,7
2199,8
2200,18
2201,8
2202,18
2203,8
2204,1
2205,17
2206,18
2207,1
2208,1
2209,1
2210,1
2211,1
2212,17
2213,2
2214,2
2215,2
2216,2
2217,2
2218,5
2219,11
2220,2
2221,2
2222,2
2223,2
2224,1
2225,1
2226,1
2227,8
2228,7
2229,4
2230,18
2231,7
2232,7
2233,8
2234,1
2235,8
2236,4
