,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,6
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,0
403,6
404,6
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,5
416,0
417,0
418,0
419,0
420,14
421,12
422,12
423,12
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,11
445,11
446,11
447,11
448,11
449,11
450,11
451,11
452,0
453,11
454,11
455,11
456,0
457,11
458,11
459,11
460,0
461,0
462,0
463,0
464,0
465,14
466,0
467,0
468,14
469,0
470,0
471,5
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,6
480,0
481,0
482,5
483,5
484,5
485,5
486,0
487,0
488,7
489,7
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,7
502,7
503,6
504,6
505,6
506,6
507,6
508,6
509,6
510,6
511,6
512,6
513,6
514,6
515,6
516,6
517,6
518,6
519,6
520,6
521,6
522,6
523,6
524,6
525,6
526,6
527,6
528,6
529,6
530,6
531,11
532,11
533,0
534,6
535,0
536,14
537,7
538,0
539,13
540,0
541,0
542,0
543,0
544,0
545,0
546,6
547,0
548,2
549,8
550,8
551,8
552,8
553,8
554,8
555,8
556,8
557,8
558,8
559,8
560,8
561,8
562,8
563,8
564,8
565,8
566,8
567,8
568,8
569,8
570,8
571,4
572,4
573,4
574,4
575,4
576,8
577,8
578,2
579,2
580,9
581,9
582,9
583,9
584,9
585,9
586,9
587,9
588,9
589,9
590,9
591,2
592,9
593,5
594,5
595,5
596,5
597,14
598,5
599,9
600,9
601,9
602,10
603,8
604,2
605,10
606,2
607,2
608,8
609,0
610,0
611,0
612,0
613,0
614,4
615,4
616,4
617,4
618,4
619,13
620,13
621,0
622,0
623,13
624,0
625,13
626,1
627,1
628,1
629,14
630,1
631,14
632,14
633,1
634,1
635,1
636,1
637,1
638,1
639,14
640,1
641,14
642,1
643,14
644,1
645,1
646,1
647,14
648,1
649,1
650,1
651,14
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,14
662,1
663,1
664,1
665,1
666,14
667,14
668,14
669,10
670,10
671,10
672,5
673,1
674,2
675,2
676,2
677,14
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,4
694,4
695,4
696,4
697,4
698,4
699,4
700,4
701,4
702,4
703,4
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,5
714,14
715,14
716,5
717,5
718,14
719,7
720,2
721,14
722,14
723,4
724,4
725,0
726,0
727,0
728,0
729,0
